PeakID (cmd=annotatePeaks.pl Homer_mMET.txt mm8)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Peak9717	chr7	46663190	46665365	+	0	NA	promoter-TSS (NM_001005248)	promoter-TSS (NM_001005248)	141	NM_008186	14884	Mm.22700	NM_008186	ENSMUSG00000006599	Gtf2h1	62kDa|AW743425|AW822074|BTF2 p62|C77871|p62	general transcription factor II H, polypeptide 1	protein-coding
Peak3998	chr15	101094244	101096023	+	0	NA	intron (NM_010444, intron 1 of 6)	intron (NM_010444, intron 1 of 6)	253	NM_010444	15370	Mm.119	NM_010444	ENSMUSG00000023034	Nr4a1	GFRP1|Gfrp|Hbr-1|Hbr1|Hmr|N10|NGFI-B|NGFIB|NP10|TIS1|TR3|nur77	nuclear receptor subfamily 4, group A, member 1	protein-coding
Peak4754	chr17	34770757	34773851	+	0	NA	intron (NM_001199044, intron 1 of 30)	intron (NM_001199044, intron 1 of 30)	629	NM_001199044	53761	Mm.272462	NM_020027	ENSMUSG00000024393	Prrc2a	3110039B05Rik|Bat-2|Bat2|D17H6S51E|G2|Wbp12|mKIAA4178	proline-rich coiled-coil 2A	protein-coding
Peak6371	chr2	130869934	130871997	+	0	NA	exon (NM_007682, exon 1 of 1)	exon (NM_007682, exon 1 of 1)	488	NM_007682	12616	Mm.440169	NM_007682		Cenpb	-	centromere protein B	protein-coding
Peak1897	chr11	95200477	95202037	+	0	NA	intron (NM_016752, intron 1 of 8)	intron (NM_016752, intron 1 of 8)	245	NM_016752	110172	Mm.4593	NM_016752		Slc35b1	Ugalt2	solute carrier family 35, member B1	protein-coding
Peak1107	chr10	92738879	92741149	+	0	NA	intron (NM_001282967, intron 1 of 3)	CpG	944	NM_013508	13713	Mm.4454	NM_013508	ENSMUSG00000008398	Elk3	D430049E23Rik|Erp|Etrp|Net|Sap-2	ELK3, member of ETS oncogene family	protein-coding
Peak6843	chr3	83140630	83142444	+	0	NA	promoter-TSS (NM_016784)	promoter-TSS (NM_016784)	72	NM_016784	53317	Mm.286349	NM_016784	ENSMUSG00000027998	Plrg1	AA958940|C80566|Tango4	pleiotropic regulator 1, PRL1 homolog (Arabidopsis)	protein-coding
Peak7219	chr3	152700465	152701258	+	0	NA	intron (NM_025662, intron 9 of 10)	Lx8|LINE|L1	49375	NM_025662	329777	Mm.331447	NM_025662	ENSMUSG00000039047	Pigk	3000001O05Rik	phosphatidylinositol glycan anchor biosynthesis, class K	protein-coding
Peak9055	chr6	86649375	86650648	+	0	NA	intron (NM_025665, intron 1 of 5)	CpG	114	NM_025665	66618	Mm.182650	NM_025665	ENSMUSG00000001158	Snrnp27	2610209M04Rik|AI449063|AU022368|Ry1	small nuclear ribonucleoprotein 27 (U4/U6.U5)	protein-coding
Peak5935	chr2	31509579	31512267	+	0	NA	5' UTR (NM_001112703, exon 1 of 11)	5' UTR (NM_001112703, exon 1 of 11)	377	NM_001283046	11350	Mm.1318	NM_009594	ENSMUSG00000026842	Abl1	AI325092|Abl|E430008G22Rik|c-Abl	c-abl oncogene 1, non-receptor tyrosine kinase	protein-coding
Peak8500	chr5	122967663	122969174	+	0	NA	intron (NM_011026, intron 1 of 11)	CpG	257	NM_011026	18438	Mm.290884	NM_011026	ENSMUSG00000029470	P2rx4	AI504491|AW555605|D5Ertd444e|P2X4	purinergic receptor P2X, ligand-gated ion channel 4	protein-coding
Peak10911	chr9	21585571	21588363	+	0	NA	intron (NM_001080940, intron 2 of 3)	RSINE1|SINE|B4	1055	NM_001080940	624219	Mm.440264	NM_001080940	ENSMUSG00000047822	Angptl8	EG624219|Gm6484|Rifl	angiopoietin-like 8	protein-coding
Peak5181	chr18	39488276	39489948	+	0	NA	exon (NM_175164, exon 22 of 23)	exon (NM_175164, exon 22 of 23)	124107	NM_008173	14815	Mm.129481	NM_008173	ENSMUSG00000024431	Nr3c1	GR|Grl-1|Grl1	nuclear receptor subfamily 3, group C, member 1	protein-coding
Peak8678	chr5	141081539	141082899	+	0	NA	intron (NM_010302, intron 1 of 3)	intron (NM_010302, intron 1 of 3)	686	NM_010302	14673	Mm.370185	NM_010302		Gna12	AI414047|AI504261|Galpha12	guanine nucleotide binding protein, alpha 12	protein-coding
Peak11431	chr9	118455344	118457104	+	0	NA	intron (NM_133721, intron 1 of 27)	intron (NM_133721, intron 1 of 27)	817	NM_133721	104099	Mm.335520	NM_133721	ENSMUSG00000039115	Itga9	(alpha)9|2610002H11Rik|6720458D17Rik|AI461869|D130073C02|D9Ertd428e	integrin alpha 9	protein-coding
Peak4884	chr17	55922743	55925380	+	0	NA	intron (NM_025836, intron 1 of 7)	intron (NM_025836, intron 1 of 7)	159	NM_025836	66905	Mm.311696	NM_025836	ENSMUSG00000024197	Plin3	1300012C15Rik|M6prbp1|Tip47	perilipin 3	protein-coding
Peak4291	chr16	43898619	43899543	+	0	NA	promoter-TSS (NM_001007460)	promoter-TSS (NM_001007460)	-699	NM_001007460	332175	Mm.327852	NM_001007460	ENSMUSG00000036304	Zdhhc23	Gm1751|Gm779|nidd	zinc finger, DHHC domain containing 23	protein-coding
Peak8071	chr5	23954272	23956081	+	0	NA	TTS (NM_022418)	TTS (NM_022418)	124	NM_023229	66587	Mm.28123	NM_023229	ENSMUSG00000028959	Fastk	0610011K02Rik|610011K02Rik	Fas-activated serine/threonine kinase	protein-coding
Peak2535	chr12	87310401	87311943	+	0	NA	intron (NM_011934, intron 1 of 6)	CpG	425	NM_011934	26380	Mm.235550	NM_011934	ENSMUSG00000021255	Esrrb	Err2|Errb|Estrrb|Nr3b2	estrogen related receptor, beta	protein-coding
Peak4169	chr16	20628434	20632326	+	0	NA	promoter-TSS (NM_009900)	promoter-TSS (NM_009900)	-201	NM_009900	12724	Mm.177761	NM_009900	ENSMUSG00000022843	Clcn2	AL118368|ClC-2|Clc2|nmf240	chloride channel, voltage-sensitive 2	protein-coding
Peak6974	chr3	95839665	95840960	+	0	NA	promoter-TSS (NM_001163617)	promoter-TSS (NM_001163617)	70	NM_027931	71807	Mm.271754	NM_027931	ENSMUSG00000028107	Tars2	2610024N01Rik|AI429208|Tarsl1	threonyl-tRNA synthetase 2, mitochondrial (putative)	protein-coding
Peak2338	chr12	33760936	33761985	+	0	NA	intron (NM_028139, intron 2 of 3)	intron (NM_028139, intron 2 of 3)	28527	NM_028139	380753	Mm.41540	NM_028139	ENSMUSG00000020564	Atxn7l1	2810423G08Rik|Atxn7l4	ataxin 7-like 1	protein-coding
Peak2618	chr12	109205356	109206208	+	0	NA	Intergenic	CpG	-35336	NM_009537	22632	Mm.3868	NM_009537	ENSMUSG00000021264	Yy1	AW488674|NF-E1	YY1 transcription factor	protein-coding
Peak7138	chr3	127781278	127783591	+	0	NA	intron (NM_145133, intron 1 of 2)	intron (NM_145133, intron 1 of 2)	499	NM_145133	211550	Mm.31852	NM_145133	ENSMUSG00000046688	Tifa	T2bp	TRAF-interacting protein with forkhead-associated domain	protein-coding
Peak4241	chr16	32938864	32939586	+	0	NA	exon (NM_178378, exon 10 of 11)	exon (NM_178378, exon 10 of 11)	36708	NM_178378	69707	Mm.227918	NM_178378	ENSMUSG00000035578	Iqcg	2400003L07Rik|G1-374-12|esgd12d|repro1|stubby12d	IQ motif containing G	protein-coding
Peak836	chr10	59742206	59743382	+	0	NA	intron (NM_001159572, intron 1 of 6)	intron (NM_001159572, intron 1 of 6)	586	NM_028732	74048	Mm.273584	NM_028732	ENSMUSG00000020101	Vsir	4632428N05Rik|Dies1|PD-1H|VISTA	V-set immunoregulatory receptor	protein-coding
Peak5862	chr2	26137105	26138826	+	0	NA	intron (NM_001199146, intron 1 of 12)	intron (NM_001199146, intron 1 of 12)	423	NM_153410	67839	Mm.266611	NM_153410	ENSMUSG00000026930	Gpsm1	1810037C22Rik|AW107933|Ags3	G-protein signalling modulator 1 (AGS3-like, C. elegans)	protein-coding
Peak8927	chr6	51397423	51401050	+	0	NA	promoter-TSS (NM_007624)	promoter-TSS (NM_007624)	241	NM_182650	53379	Mm.155896	NM_016806		Hnrnpa2b1	9130414A06Rik|Hnrpa2|Hnrpa2b1|hnrnp-A	heterogeneous nuclear ribonucleoprotein A2/B1	protein-coding
Peak5331	chr18	85084817	85086572	+	0	NA	promoter-TSS (NM_025969)	promoter-TSS (NM_025969)	23	NM_025969	67105	Mm.250617	NM_025969	ENSMUSG00000024645	Timm21	1700034H14Rik|2700002I20Rik	tranlocase of inner mitochondrial membrane 21	protein-coding
Peak11493	chrX	6946230	6947469	+	0	NA	promoter-TSS (NM_001290455)	promoter-TSS (NM_001290455)	-103	NM_001290455	54645	Mm.194811	NM_207670	ENSMUSG00000031153	Gripap1	AI854681|DXImx47e|GRASP-1|Sfc10|mKIAA1167	GRIP1 associated protein 1	protein-coding
Peak10328	chr8	36432784	36434740	+	0	NA	exon (NM_175091, exon 1 of 27)	exon (NM_175091, exon 1 of 27)	445	NM_175091	21951	Mm.88364	NM_175091	ENSMUSG00000031529	Tnks	4930554K12Rik|AI662855|ARTD5|C86528|D130072O21Rik|TANK1|mTNKS1	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	protein-coding
Peak10714	chr8	113920201	113924154	+	0	NA	intron (NM_146217, intron 1 of 20)	intron (NM_146217, intron 1 of 20)	1660	NM_146217	234734	Mm.24174	NM_146217		Aars	AI316495|C76919|sti	alanyl-tRNA synthetase	protein-coding
Peak6327	chr2	126623182	126625462	+	0	NA	intron (NM_023220, intron 1 of 14)	G-rich|Low_complexity|Low_complexity	354	NM_023220	66552	Mm.269928	NM_023220	ENSMUSG00000027366	Sppl2a	2010106G01Rik|C130089K23Rik	signal peptide peptidase like 2A	protein-coding
Peak1907	chr11	96604672	96606456	+	0	NA	intron (NM_007622, intron 1 of 5)	CpG	338	NM_007622	12412	Mm.29055	NM_007622	ENSMUSG00000018666	Cbx1	Cbx|Cbx-rs2|E430007M08Rik|HP1B|Hp1beta|M31|MOD1	chromobox 1	protein-coding
Peak5547	chr19	24097383	24098630	+	0	NA	exon (NM_001114174, exon 1 of 11)	exon (NM_001114174, exon 1 of 11)	110	NM_001114174	381217	Mm.426078	NM_001114174	ENSMUSG00000071604	Fam189a2	AI414343|AI666772|Gm967	family with sequence similarity 189, member A2	protein-coding
Peak490	chr1	165766140	165768642	+	0	NA	intron (NM_001286003, intron 1 of 13)	intron (NM_001286003, intron 1 of 13)	951	NM_028776	240880	Mm.389213	NM_028776	ENSMUSG00000026584	Scyl3	1200016D23Rik|6030457O16|AW214499|Pace1	SCY1-like 3 (S. cerevisiae)	protein-coding
Peak5461	chr19	7560667	7563188	+	0	NA	intron (NM_146091, intron 1 of 12)	CpG	445	NM_146091	109168	Mm.264016	NM_146091	ENSMUSG00000024759	Atl3	4633402C03Rik|5730596K20Rik|AI465397|AW228836	atlastin GTPase 3	protein-coding
Peak2689	chr13	4607746	4608834	+	0	NA	intron (NM_018859, intron 1 of 9)	intron (NM_018859, intron 1 of 9)	120	NM_018859	56043	Mm.251908	NM_018859	ENSMUSG00000045410	Akr1e1	1810061I10Rik|Akr1e2	aldo-keto reductase family 1, member E1	protein-coding
Peak11537	chrX	20004980	20006430	+	0	NA	intron (NM_001159645, intron 1 of 5)	CpG	203	NM_001159645	11836	Mm.220946	NM_009703	ENSMUSG00000001127	Araf	1200013E08Rik|A-Raf|AW495444|Araf1	v-raf murine sarcoma 3611 viral oncogene homolog	protein-coding
Peak1825	chr11	84634422	84636094	+	0	NA	exon (NM_145433, exon 1 of 5)	exon (NM_145433, exon 1 of 5)	452	NM_145433	217038	Mm.280825	NM_145433	ENSMUSG00000018405	Mrm1	A530065E19Rik|ENSMUSG00000054212	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)	protein-coding
Peak2317	chr12	29220948	29223126	+	0	NA	intron (NM_011300, intron 1 of 6)	CpG-3105	184	NM_011300	20115	Mm.279839	NM_011300	ENSMUSG00000061477	Rps7	Mtu|Rps7A|S7	ribosomal protein S7	protein-coding
Peak312	chr1	99599336	99601921	+	0	NA	promoter-TSS (NM_173760)	promoter-TSS (NM_173760)	50	NM_026250	252876	Mm.86090	NM_026250	ENSMUSG00000026333	Gin1	4930429M06Rik|8430411H10Rik|Gin-1|Zh2c2	gypsy retrotransposon integrase 1	protein-coding
Peak5531	chr19	16502193	16503995	+	0	NA	5' UTR (NM_008137, exon 1 of 7)	5' UTR (NM_008137, exon 1 of 7)	408	NM_008137	14675	Mm.313181	NM_008137	ENSMUSG00000024697	Gna14	AU023208	guanine nucleotide binding protein, alpha 14	protein-coding
Peak8280	chr5	88163522	88167079	+	0	NA	intron (NM_001029867, intron 2 of 5)	intron (NM_001029867, intron 2 of 5)	1816	NM_001029867	231396	Mm.439851	NM_001029867	ENSMUSG00000070704	Ugt2b36	-	UDP glucuronosyltransferase 2 family, polypeptide B36	protein-coding
Peak6030	chr2	56938490	56939880	+	0	NA	intron (NM_001139509, intron 1 of 7)	CpG	204	NM_001139509	18227	Mm.3507	NM_013613	ENSMUSG00000026826	Nr4a2	HZF-3|NOT|Nurr1|RNR-1|TINOR|TINUR	nuclear receptor subfamily 4, group A, member 2	protein-coding
Peak1180	chr10	120300824	120302492	+	0	NA	intron (NM_177092, intron 1 of 6)	CpG	373	NM_177092	320183	Mm.169755	NM_177092	ENSMUSG00000051236	Msrb3	D430026P16Rik|I-8-23|MsrB2	methionine sulfoxide reductase B3	protein-coding
Peak10577	chr8	89635054	89636859	+	0	NA	non-coding (NR_027829, exon 1 of 1)	non-coding (NR_027829, exon 1 of 1)	152	NR_027829	666945	Mm.391806	NR_027829		Gm10638	ENSMUSG00000074178	predicted gene 10638	ncRNA
Peak2086	chr11	107004366	107005650	+	0	NA	intron (NM_001161329, intron 1 of 17)	CpG	463	NM_133702	68979	Mm.294617	NM_133702	ENSMUSG00000018433	Nol11	1500002M01Rik|AU015220|AU019874	nucleolar protein 11	protein-coding
Peak1571	chr11	60646482	60647451	+	0	NA	intron (NM_001172112, intron 1 of 6)	intron (NM_001172112, intron 1 of 6)	140	NM_145428	216820	Mm.21475	NM_145428	ENSMUSG00000042569	Dhrs7b	BC003479|C79874|C80074|PexRAP	dehydrogenase/reductase (SDR family) member 7B	protein-coding
Peak3049	chr13	94403765	94406711	+	0	NA	promoter-TSS (NM_011982)	promoter-TSS (NM_011982)	-10	NM_147176	26556	Mm.37533	NM_011982		Homer1	PSD-Zip45|SYN47|Ves-1|homer-1|vesl-1	homer homolog 1 (Drosophila)	protein-coding
Peak5411	chr19	5731100	5731812	+	0	NA	exon (NM_020491, exon 2 of 4)	exon (NM_020491, exon 2 of 4)	276	NM_020491	56390	Mm.455818	NM_020491	ENSMUSG00000079478	Sssca1	1500016H19Rik|C184L	Sjogren's syndrome/scleroderma autoantigen 1 homolog (human)	protein-coding
Peak11665	chrX	96696294	96697886	+	0	NA	promoter-TSS (NM_008784)	promoter-TSS (NM_008784)	80	NM_008784	18518	Mm.7454	NM_008784	ENSMUSG00000031221	Igbp1	AI115586|AI662457|AW208785|C81413|Pc52|Tap42|p52	immunoglobulin (CD79A) binding protein 1	protein-coding
Peak10737	chr8	119618005	119619687	+	0	NA	5' UTR (NM_029441, exon 1 of 7)	5' UTR (NM_029441, exon 1 of 7)	122	NM_029441	75796	Mm.159575	NM_029441	ENSMUSG00000031758	Cdyl2	1700029M19Rik|4930453I21Rik|Gm20194	chromodomain protein, Y chromosome-like 2	protein-coding
Peak8607	chr5	136217979	136220028	+	0	NA	exon (NM_018871, exon 1 of 2)	exon (NM_018871, exon 1 of 2)	265	NM_018871	22628	Mm.233813	NM_018871	ENSMUSG00000051391	Ywhag	14-3-3gamma|D7Bwg1348e	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide	protein-coding
Peak1169	chr10	117148227	117149770	+	0	NA	exon (NM_029875, exon 1 of 5)	exon (NM_029875, exon 1 of 5)	353	NM_029875	215436	Mm.256753	NM_029875	ENSMUSG00000060181	Slc35e3	9330166G04Rik|AI481200	solute carrier family 35, member E3	protein-coding
Peak7039	chr3	103186922	103188144	+	0	NA	TTS (NM_001161854)	TTS (NM_001161854)	187	NM_010937	18176	Mm.400954	NM_010937	ENSMUSG00000027852	Nras	AV095280|N-ras	neuroblastoma ras oncogene	protein-coding
Peak3607	chr15	34437370	34440757	+	0	NA	promoter-TSS (NM_152894)	promoter-TSS (NM_152894)	772	NM_008287	15473	Mm.491154	NM_008287	ENSMUSG00000022323	Hrsp12	HR12|HRP12	heat-responsive protein 12	protein-coding
Peak3482	chr14	74017835	74019431	+	0	NA	TTS (NM_019775)	TTS (NM_019775)	105	NM_026083	67302	Mm.74704	NM_026083	ENSMUSG00000022000	Zc3h13	2600010B19Rik|3110050K21Rik|4930570G11Rik|C87618	zinc finger CCCH type containing 13	protein-coding
Peak5140	chr18	35724540	35725861	+	0	NA	intron (NM_026420, intron 1 of 3)	CpG	559	NM_026420	67869	Mm.126534	NM_026420	ENSMUSG00000037058	Paip2	2310050K10Rik|AU045972	polyadenylate-binding protein-interacting protein 2	protein-coding
Peak8703	chr5	144072728	144074769	+	0	NA	intron (NM_013557, intron 1 of 14)	CpG	337	NM_013557	15467	Mm.389709	NM_013557		Eif2ak1	HCR|Hri	eukaryotic translation initiation factor 2 alpha kinase 1	protein-coding
Peak8391	chr5	110163443	110164601	+	0	NA	Intergenic	Intergenic	-9843	NR_040366	100642166		NR_040366	ENSMUSG00000090015	Gm15446	OTTMUSG00000022004	predicted gene 15446	ncRNA
Peak9090	chr6	90680924	90682309	+	0	NA	intron (NM_001134384, intron 1 of 13)	intron (NM_001134384, intron 1 of 13)	417	NM_001134383	232227	Mm.196943	NM_182784	ENSMUSG00000034312	Iqsec1	AW561907|BC026481|BRAG2|D6Ertd349e|cI-43	IQ motif and Sec7 domain 1	protein-coding
Peak6355	chr2	129869395	129871499	+	0	NA	intron (NM_009225, intron 1 of 6)	CpG	358	NM_009225	20638	Mm.88216	NM_009225	ENSMUSG00000027404	Snrpb	AL024368|AU018828|SM-B|SM11|SMB|SNRNP-B	small nuclear ribonucleoprotein B	protein-coding
Peak3893	chr15	88646431	88648316	+	0	NA	promoter-TSS (NM_145477)	promoter-TSS (NM_145477)	-39	NM_029720	76737	Mm.292567	NM_029720	ENSMUSG00000023272	Creld2	5730592L21Rik|C85758	cysteine-rich with EGF-like domains 2	protein-coding
Peak11762	chrX	150555767	150557086	+	0	NA	intron (NM_001291865, intron 2 of 6)	intron (NM_001291865, intron 2 of 6)	739	NM_009121	20229	Mm.2734	NM_009121	ENSMUSG00000025283	Sat1	AA617398|SSAT|Sat	spermidine/spermine N1-acetyl transferase 1	protein-coding
Peak414	chr1	138774073	138776907	+	0	NA	intron (NM_030676, intron 1 of 8)	intron (NM_030676, intron 1 of 8)	1369	NM_030676	26424	Mm.16794	NM_030676	ENSMUSG00000026398	Nr5a2	AU020803|D1Ertd308e|Ftf|LRH-1|UF2-H3B	nuclear receptor subfamily 5, group A, member 2	protein-coding
Peak8507	chr5	123299600	123300233	+	0	NA	exon (NM_029112, exon 3 of 5)	exon (NM_029112, exon 3 of 5)	7521	NM_029112	74890	Mm.141383	NM_029112	ENSMUSG00000029477	Morn3	4930438O03Rik	MORN repeat containing 3	protein-coding
Peak604	chr1	184791404	184792272	+	0	NA	intron (NM_016928, intron 1 of 3)	intron (NM_016928, intron 1 of 3)	375	NM_016928	53791	Mm.116894	NM_016928	ENSMUSG00000079164	Tlr5	-	toll-like receptor 5	protein-coding
Peak6125	chr2	84599082	84601388	+	0	NA	intron (NM_019949, intron 1 of 3)	intron (NM_019949, intron 1 of 3)	568	NM_019949	56791	Mm.38261	NM_019949	ENSMUSG00000027078	Ube2l6	2810489I21Rik|RIG-B|UBCH8|Ubce8|Ubcm8	ubiquitin-conjugating enzyme E2L 6	protein-coding
Peak2366	chr12	52927527	52928456	+	0	NA	intron (NM_029545, intron 1 of 2)	CpG	130	NM_029545	328092	Mm.2821	NM_029545	ENSMUSG00000020956	Dtd2	4930578F06Rik|6530401N04Rik|B830049N13Rik	D-tyrosyl-tRNA deacylase 2	protein-coding
Peak3492	chr14	75769971	75771692	+	0	NA	promoter-TSS (NM_172488)	promoter-TSS (NM_172488)	-59	NM_172488	210808	Mm.89278	NM_172488	ENSMUSG00000044350	Lacc1	9030625A04Rik	laccase (multicopper oxidoreductase) domain containing 1	protein-coding
Peak8154	chr5	34842635	34843821	+	0	NA	intron (NM_011893, intron 1 of 12)	intron (NM_011893, intron 1 of 12)	587	NM_011893	24055	Mm.5012	NM_011893	ENSMUSG00000054520	Sh3bp2	3BP2	SH3-domain binding protein 2	protein-coding
Peak9913	chr7	101769627	101771098	+	0	NA	intron (NM_001291349, intron 1 of 4)	intron (NM_001291349, intron 1 of 4)	210	NM_001291349	75430	Mm.284491	NM_027532	ENSMUSG00000030649	Anapc15	3200002M19Rik|6330414C15Rik|APC15	anaphase prompoting complex C subunit 15	protein-coding
Peak2413	chr12	70282411	70283288	+	0	NA	Intergenic	Intergenic	-7068	NM_025441	66244	Mm.46705	NM_025441	ENSMUSG00000020982	Nemf	1500011I12Rik|4933405E14Rik|Sdccag1	nuclear export mediator factor	protein-coding
Peak10137	chr7	139239552	139241865	+	0	NA	5' UTR (NM_183144, exon 1 of 16)	5' UTR (NM_183144, exon 1 of 16)	279	NM_001127363	212111	Mm.28308	NM_183144	ENSMUSG00000025477	Inpp5a	-	inositol polyphosphate-5-phosphatase A	protein-coding
Peak6143	chr2	90982973	90984754	+	0	NA	promoter-TSS (NM_001177719)	promoter-TSS (NM_001177719)	23	NM_001177719	228355	Mm.36410	NM_145527	ENSMUSG00000040687	Madd	9630059K23Rik|IG20	MAP-kinase activating death domain	protein-coding
Peak2757	chr13	23690870	23694044	+	0	NA	TTS (NM_001290380)	TTS (NM_001290380)	793	NM_023422	68024	Mm.261676	NM_023422	ENSMUSG00000018102	Hist1h2bc	2610022J01Rik|H2bfs|R74621	histone cluster 1, H2bc	protein-coding
Peak5300	chr18	76160097	76160968	+	0	NA	intron (NM_145356, intron 3 of 4)	intron (NM_145356, intron 3 of 4)	63304	NR_045365	73009	Mm.443541	NR_045365		2900057B20Rik	-	RIKEN cDNA 2900057B20 gene	ncRNA
Peak6724	chr3	31046429	31047423	+	0	NA	5' UTR (NM_001134385, exon 1 of 4)	5' UTR (NM_001134385, exon 1 of 4)	138	NM_001286994	71862	Mm.272019	NM_027965	ENSMUSG00000037661	Gpr160	1700025D19Rik|GPCR150	G protein-coupled receptor 160	protein-coding
Peak677	chr10	7470151	7471640	+	0	NA	intron (NM_145418, intron 1 of 7)	CpG	212	NM_145418	215751	Mm.471825	NM_145418	ENSMUSG00000040006	Ginm1	AA589616	glycoprotein integral membrane 1	protein-coding
Peak3657	chr15	54942105	54945542	+	0	NA	promoter-TSS (NR_045093)	promoter-TSS (NR_045093)	-158	NR_045093	100503794	Mm.360519	NR_045093	ENSMUSG00000053749	Gm9920	ENSMUSG00000053749	predicted gene 9920	ncRNA
Peak5000	chr17	84696076	84699982	+	0	NA	intron (NM_028233, intron 1 of 37)	intron (NM_028233, intron 1 of 37)	1083	NM_028233	72416	Mm.217027	NM_028233	ENSMUSG00000024120	Lrpprc	3110001K13Rik|C76645|Gp130|Lrp130|Lsfc	leucine-rich PPR-motif containing	protein-coding
Peak11153	chr9	66309121	66310847	+	0	NA	exon (NM_175206, exon 2 of 2)	exon (NM_175206, exon 2 of 2)	2615	NM_175206	74165	Mm.297998	NM_175206	ENSMUSG00000050503	Fbxl22	1110004B15Rik	F-box and leucine-rich repeat protein 22	protein-coding
Peak5349	chr19	3999902	4001256	+	0	NA	promoter-TSS (NM_025529)	promoter-TSS (NM_025529)	-1	NM_025529	66387	Mm.259222	NM_025529	ENSMUSG00000024869	Nudt8	2310039H17Rik	nudix (nucleoside diphosphate linked moiety X)-type motif 8	protein-coding
Peak7023	chr3	99269759	99271040	+	0	NA	intron (NM_027462, intron 1 of 5)	CpG	248	NM_027462	70560	Mm.316754	NM_027462	ENSMUSG00000004233	Wars2	5730427B17Rik|9430020O07Rik|AI413375|TrpRS	tryptophanyl tRNA synthetase 2 (mitochondrial)	protein-coding
Peak10760	chr8	123076956	123077244	+	0	NA	Intergenic	Intergenic	-13654	NM_001033980	436062	Mm.334852	NM_001033980	ENSMUSG00000042269	Fam92b	1700120B06Rik	family with sequence similarity 92, member B	protein-coding
Peak2130	chr11	115262849	115265237	+	0	NA	TTS (NR_039549)	TTS (NR_039549)	107	NR_039549	100628623		NR_039549	ENSMUSG00000093096	Mir3968	mmu-mir-3968|mu-mir-3968	microRNA 3968	ncRNA
Peak3192	chr14	19495527	19497270	+	0	NA	5' UTR (NM_027996, exon 1 of 26)	5' UTR (NM_027996, exon 1 of 26)	294	NM_001252082	268721	Mm.275082	NM_027996	ENSMUSG00000021819	Zswim8	2310021P13Rik|4832404P21Rik|Kiaa0913|mKIAA0913	zinc finger SWIM-type containing 8	protein-coding
Peak1011	chr10	80473203	80473722	+	0	NA	intron (NM_022653, intron 1 of 12)	intron (NM_022653, intron 1 of 12)	250	NM_022653	50492	Mm.26995	NM_022653	ENSMUSG00000004929	Thop1	AI131655|AI327041|EP24.15	thimet oligopeptidase 1	protein-coding
Peak333	chr1	121740021	121741192	+	0	NA	intron (NM_175106, intron 1 of 1)	intron (NM_175106, intron 1 of 1)	108	NM_175106	66343	Mm.49942	NM_175106	ENSMUSG00000036975	Tmem177	2300008B03Rik	transmembrane protein 177	protein-coding
Peak7788	chr4	132790674	132791850	+	0	NA	intron (NM_001083916, intron 1 of 3)	CpG	223	NM_133707	69073	Mm.299081	NM_133707	ENSMUSG00000037600	Kdf1	1810019J16Rik	keratinocyte differentiation factor 1	protein-coding
Peak8400	chr5	110509041	110510218	+	0	NA	intron (NM_028273, intron 1 of 5)	intron (NM_028273, intron 1 of 5)	572	NM_001163538	72542	Mm.61682	NM_028273	ENSMUSG00000029500	Pgam5	2610528A17Rik	phosphoglycerate mutase family member 5	protein-coding
Peak534	chr1	173106615	173107859	+	0	NA	intron (NM_020579, intron 1 of 7)	CpG	234	NM_020579	57370	Mm.274011	NM_020579	ENSMUSG00000052423	B4galt3	9530061M23Rik|AA104562|AW125175|ESTM26|ESTM6|R74981	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3	protein-coding
Peak11234	chr9	85544952	85547037	+	0	NA	promoter-TSS (NM_001081282)	promoter-TSS (NM_001081282)	58	NM_001081282	108837	Mm.22315	NM_175371	ENSMUSG00000035941	Ibtk	5430411K16Rik|AA409502|BTKI|mKIAA1417	inhibitor of Bruton agammaglobulinemia tyrosine kinase	protein-coding
Peak11298	chr9	103059407	103060326	+	0	NA	intron (NM_009275, intron 1 of 6)	CpG	349	NM_009275	20818	Mm.273053	NM_009275	ENSMUSG00000032553	Srprb	AA409543	signal recognition particle receptor, B subunit	protein-coding
Peak4388	chr16	91507230	91507929	+	0	NA	5' UTR (NM_001099738, exon 1 of 2)	5' UTR (NM_001099738, exon 1 of 2)	279	NM_001099738	246738	Mm.101927	NM_138664	ENSMUSG00000039763	Dnajc28	BC020175|ORF28	DnaJ (Hsp40) homolog, subfamily C, member 28	protein-coding
Peak1716	chr11	75275904	75280117	+	0	NA	intron (NR_030711, intron 1 of 2)	CpG	276	NR_030711	100042498	Mm.482242	NR_030711	ENSMUSG00000085148	Mir22hg	2210403K04Rik|mir-22	Mir22 host gene (non-protein coding)	ncRNA
