PeakID (cmd=annotatePeaks.pl .Homer.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
9998	chr4	75022739	75025300	+	0	NA	intron (NM_001144978, intron 1 of 7)	CpG	190	NM_001144978	441024	Hs.721011	NM_001004346	ENSG00000163738	MTHFD2L	-	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like	protein-coding
9999	chr4	75228368	75234390	+	0	NA	intron (NM_001432, intron 1 of 4)	Charlie18a|DNA|hAT-Charlie	519	NM_001432	2069	Hs.115263	NM_001432	ENSG00000124882	EREG	EPR|ER|Ep	epiregulin	protein-coding
10000	chr4	75310934	75311824	+	0	NA	intron (NM_001657, intron 1 of 5)	MIR3|SINE|MIR	564	NM_001657	374	Hs.270833	NM_001657	ENSG00000109321	AREG	AR|AREGB|CRDGF|SDGF	amphiregulin	protein-coding
10001	chr4	75718736	75720269	+	0	NA	exon (NM_001316963, exon 1 of 5)	exon (NM_001316963, exon 1 of 5)	394	NM_001729	685	Hs.591704	NM_001729		BTC	-	betacellulin	protein-coding
10002	chr4	75857740	75859389	+	0	NA	exon (NM_015393, exon 1 of 4)	exon (NM_015393, exon 1 of 4)	279	NM_015393	25849	Hs.105460	NM_015393	ENSG00000169116	PARM1	Cipar1|DKFZP564O0823|PARM-1|WSC4	prostate androgen-regulated mucin-like protein 1	protein-coding
10003	chr4	76051169	76052785	+	0	NA	Intergenic	Intergenic	-156405	NR_121617	100507388	Hs.570765	NR_121617	ENSG00000249717	LOC100507388	-	uncharacterized LOC100507388	ncRNA
10004	chr4	76438271	76441240	+	0	NA	promoter-TSS (NR_103724)	promoter-TSS (NR_103724)	101	NM_144721	152815	Hs.479971	NM_144721	ENSG00000174796	THAP6	-	THAP domain containing 6	protein-coding
10005	chr4	76555265	76556435	+	0	NA	promoter-TSS (NM_003948)	promoter-TSS (NM_003948)	-129	NM_003948	8999	Hs.591698	NM_003948		CDKL2	KKIAMRE|P56	cyclin-dependent kinase-like 2 (CDC2-related kinase)	protein-coding
10006	chr4	76596870	76599676	+	0	NA	promoter-TSS (NM_012297)	promoter-TSS (NM_012297)	70	NM_012297	9908	Hs.303676	NM_012297	ENSG00000138757	G3BP2	-	GTPase activating protein (SH3 domain) binding protein 2	protein-coding
10007	chr4	76648459	76652092	+	0	NA	intron (NM_001290049, intron 1 of 23)	CpG	569	NM_001290049	8615	Hs.744877	NM_003715	ENSG00000138768	USO1	P115|TAP|VDP	USO1 vesicle transport factor	protein-coding
10008	chr4	76860303	76862635	+	0	NA	intron (NM_001042402, intron 1 of 8)	CpG-19891	697	NM_014435	27163	Hs.437365	NM_014435	ENSG00000138744	NAAA	ASAHL|PLT	N-acylethanolamine acid amidase	protein-coding
10009	chr4	76910301	76912720	+	0	NA	intron (NM_001288984, intron 1 of 21)	intron (NM_001288984, intron 1 of 21)	605	NM_001288983	55153	Hs.632604	NM_018115	ENSG00000198301	SDAD1	-	SDA1 domain containing 1	protein-coding
10010	chr4	77067496	77070805	+	0	NA	intron (NR_103782, intron 1 of 11)	CpG	518	NR_103780	53371	Hs.430435	NM_017426	ENSG00000138750	NUP54	-	nucleoporin 54kDa	protein-coding
10011	chr4	77133847	77135891	+	0	NA	promoter-TSS (NM_001242936)	promoter-TSS (NM_001242936)	183	NM_005506	950	Hs.349656	NM_005506	ENSG00000138760	SCARB2	AMRF|CD36L2|EPM4|HLGP85|LGP85|LIMP-2|LIMPII|SR-BII	scavenger receptor class B, member 2	protein-coding
10012	chr4	77154357	77156250	+	0	NA	intron (NM_001242936, intron 2 of 7)	MER61-int|LTR|ERV1	-17550	NM_001242939	100631383	Hs.720509	NM_001242939	ENSG00000272414	FAM47E-STBD1	-	FAM47E-STBD1 readthrough	protein-coding
10013	chr4	77172573	77173167	+	0	NA	promoter-TSS (NM_001242939)	promoter-TSS (NM_001242939)	17	NM_001136570	100129583	Hs.720509	NM_001136570	ENSG00000189157	FAM47E	-	family with sequence similarity 47, member E	protein-coding
10014	chr4	77226235	77229131	+	0	NA	5' UTR (NM_003943, exon 1 of 2)	5' UTR (NM_003943, exon 1 of 2)	504	NM_003943	8987	Hs.109590	NM_003943	ENSG00000118804	STBD1	GENEX3414|GENX-3414	starch binding domain 1	protein-coding
10015	chr4	77506864	77508323	+	0	NA	intron (NM_020859, intron 2 of 10)	intron (NM_020859, intron 2 of 10)	10889	NR_039655	100616254		NR_039655		MIR548AH	-	microRNA 548ah	ncRNA
10016	chr4	77609901	77611911	+	0	NA	intron (NM_020859, intron 2 of 10)	CpG	114202	NR_039655	100616254		NR_039655		MIR548AH	-	microRNA 548ah	ncRNA
10017	chr4	77817980	77820062	+	0	NA	promoter-TSS (NM_001029870)	promoter-TSS (NM_001029870)	-19	NM_001029870	345079	Hs.257292	NM_001029870	ENSG00000186212	SOWAHB	ANKRD56	sosondowah ankyrin repeat domain family member B	protein-coding
10018	chr4	77869573	77872960	+	0	NA	intron (NM_018243, intron 1 of 9)	CpG-19903	399	NM_018243	55752	Hs.128199	NM_018243	ENSG00000138758	SEPT11	-	septin 11	protein-coding
10019	chr4	77995025	77998228	+	0	NA	5' UTR (NM_006835, exon 1 of 7)	5' UTR (NM_006835, exon 1 of 7)	499	NM_006835	10983	Hs.518827	NM_006835	ENSG00000118816	CCNI	CCNI1|CYC1|CYI	cyclin I	protein-coding
10020	chr4	78077428	78080062	+	0	NA	intron (NM_004354, intron 1 of 7)	CpG	388	NM_004354	901	Hs.740456	NM_004354	ENSG00000138764	CCNG2	-	cyclin G2	protein-coding
10021	chr4	78738675	78742295	+	0	NA	promoter-TSS (NM_144571)	promoter-TSS (NM_144571)	59	NM_001286790	246175	Hs.592519	NM_144571	ENSG00000138767	CNOT6L	CCR4b	CCR4-NOT transcription complex subunit 6-like	protein-coding
10022	chr4	78782809	78785609	+	0	NA	intron (NM_020236, intron 1 of 8)	intron (NM_020236, intron 1 of 8)	404	NM_020236	65008	Hs.532019	NM_020236	ENSG00000169288	MRPL1	BM022|L1MT|MRP-L1	mitochondrial ribosomal protein L1	protein-coding
10023	chr4	78977126	78980904	+	0	NA	5' UTR (NM_001166133, exon 1 of 42)	5' UTR (NM_001166133, exon 1 of 42)	291	NM_001166133	80144	Hs.369448	NM_020875	ENSG00000138759	FRAS1	-	Fraser extracellular matrix complex subunit 1	protein-coding
10024	chr4	79471839	79474424	+	0	NA	intron (NM_005139, intron 1 of 12)	CpG	389	NM_005139	306	Hs.480042	NM_005139	ENSG00000138772	ANXA3	ANX3	annexin A3	protein-coding
10025	chr4	79696157	79698833	+	0	NA	promoter-TSS (NM_198892)	promoter-TSS (NM_198892)	-37	NM_017593	55589	Hs.146551	NM_017593	ENSG00000138756	BMP2K	BIKE|HRIHFB2017	BMP2 inducible kinase	protein-coding
10026	chr4	79859229	79861599	+	0	NA	5' UTR (NM_001040202, exon 1 of 6)	5' UTR (NM_001040202, exon 1 of 6)	168	NM_001040202	152559	Hs.657312	NM_177453	ENSG00000163291	PAQR3	RKTG	progestin and adipoQ receptor family member III	protein-coding
10027	chr4	80992890	80994899	+	0	NA	5' UTR (NM_001145794, exon 1 of 16)	5' UTR (NM_001145794, exon 1 of 16)	583	NM_001286781	118429	Hs.162963	NM_058172	ENSG00000163297	ANTXR2	CMG-2|CMG2|HFS|ISH|JHF	anthrax toxin receptor 2	protein-coding
10028	chr4	81105144	81106081	+	0	NA	promoter-TSS (NM_020226)	promoter-TSS (NM_020226)	-812	NM_020226	56978	Hs.373642	NM_020226	ENSG00000152784	PRDM8	PFM5	PR domain containing 8	protein-coding
10029	chr4	81256431	81257891	+	0	NA	intron (NM_001206997, intron 1 of 6)	CpG	287	NM_152770	255119	Hs.527104	NM_152770	ENSG00000197826	C4orf22	-	chromosome 4 open reading frame 22	protein-coding
10030	chr4	82074574	82075660	+	0	NA	intron (NM_001282485, intron 6 of 18)	L1PA3|LINE|L1	194	NM_001282482	5593	Hs.232044	NM_006259	ENSG00000138669	PRKG2	PRKGR2|cGK2|cGKII	protein kinase, cGMP-dependent, type II	protein-coding
10031	chr4	82392466	82393657	+	0	NA	promoter-TSS (NM_001300735)	promoter-TSS (NM_001300735)	21	NM_001300735	153020	Hs.591696	NM_152545	ENSG00000138670	RASGEF1B	GPIG4	RasGEF domain family member 1B	protein-coding
10032	chr4	83292758	83297040	+	0	NA	5' UTR (NM_031370, exon 1 of 9)	5' UTR (NM_031370, exon 1 of 9)	250	NM_031369	3184	Hs.480073	NM_002138		HNRNPD	AUF1|AUF1A|HNRPD|P37|hnRNPD0	heterogeneous nuclear ribonucleoprotein D	protein-coding
10033	chr4	83349098	83353312	+	0	NA	promoter-TSS (NR_120457)	promoter-TSS (NR_120457)	173	NM_031372	9987	Hs.527105	NM_005463	ENSG00000152795	HNRNPDL	HNRNP|HNRPDL|JKTBP|JKTBP2|LGMD1G|laAUF1	heterogeneous nuclear ribonucleoprotein D like	protein-coding
10034	chr4	83482312	83483662	+	0	NA	intron (NM_001080506, intron 1 of 7)	CpG	139	NM_001080506	441027	Hs.507676	NM_001080506	ENSG00000249242	TMEM150C	-	transmembrane protein 150C	protein-coding
10035	chr4	83718507	83720619	+	0	NA	exon (NM_001037582, exon 1 of 5)	exon (NM_001037582, exon 1 of 5)	447	NM_024906	79966	Hs.379191	NM_024906	ENSG00000145284	SCD5	ACOD4|FADS4|HSCD5|SCD2|SCD4	stearoyl-CoA desaturase 5	protein-coding
10036	chr4	83810085	83813633	+	0	NA	intron (NM_001300745, intron 1 of 24)	intron (NM_001300745, intron 1 of 24)	476	NM_001191049	22872	Hs.370024	NM_014933	ENSG00000138674	SEC31A	ABP125|ABP130|HSPC275|HSPC334|SEC31L1	SEC31 homolog A, COPII coat complex component	protein-coding
10037	chr4	83819761	83823119	+	0	NA	promoter-TSS (NM_024672)	promoter-TSS (NM_024672)	-397	NM_024672	79725	Hs.582050	NM_024672	ENSG00000168152	THAP9	hTh9	THAP domain containing 9	protein-coding
10038	chr4	83930714	83934929	+	0	NA	promoter-TSS (NR_110254)	promoter-TSS (NR_110254)	-834	NR_110253	132660	Hs.96952	NM_194282	ENSG00000189308	LIN54	CXCDC1|JC8.6|MIP120	lin-54 DREAM MuvB core complex component	protein-coding
10039	chr4	83954960	83957791	+	0	NA	5' UTR (NM_001258006, exon 1 of 9)	5' UTR (NM_001258006, exon 1 of 9)	136	NM_001258006	51138	Hs.190384	NM_016129	ENSG00000138663	COPS4	CSN4	COP9 signalosome subunit 4	protein-coding
10040	chr4	84204619	84206537	+	0	NA	intron (NM_015697, intron 1 of 6)	CpG	489	NM_015697	27235	Hs.144304	NM_015697	ENSG00000173085	COQ2	CL640|COQ10D1|MSA1|PHB:PPT	coenzyme Q2 4-hydroxybenzoate polyprenyltransferase	protein-coding
10041	chr4	84255172	84256726	+	0	NA	promoter-TSS (NM_001199830)	promoter-TSS (NM_001199830)	17	NM_001199830	10855	Hs.44227	NM_006665	ENSG00000173083	HPSE	HPA|HPA1|HPR1|HPSE1|HSE1	heparanase	protein-coding
10042	chr4	84375506	84378397	+	0	NA	promoter-TSS (NM_001297769)	promoter-TSS (NM_001297769)	85	NM_001297756	113510	Hs.480101	NM_133636	ENSG00000163312	HELQ	HEL308	helicase, POLQ-like	protein-coding
10043	chr4	84405299	84407198	+	0	NA	promoter-TSS (NM_139076)	promoter-TSS (NM_139076)	42	NM_139076	84142	Hs.334772	NM_139076		FAM175A	ABRA1|CCDC98	family with sequence similarity 175, member A	protein-coding
10044	chr4	84456047	84458989	+	0	NA	promoter-TSS (NM_032717)	promoter-TSS (NM_032717)	48	NM_032717	84803	Hs.99196	NM_032717	ENSG00000138678	GPAT3	AGPAT 10|AGPAT8|AGPAT9|HMFN0839|LPAAT-theta|MAG1	glycerol-3-phosphate acyltransferase 3	protein-coding
10045	chr4	85418143	85421277	+	0	NA	promoter-TSS (NM_006168)	promoter-TSS (NM_006168)	-323	NM_006168	4825	Hs.546270	NM_006168	ENSG00000163623	NKX6-1	NKX6.1|NKX6A	NK6 homeobox 1	protein-coding
10046	chr4	85503167	85505832	+	0	NA	5' UTR (NM_001263, exon 1 of 13)	5' UTR (NM_001263, exon 1 of 13)	442	NM_001263	1040	Hs.654899	NM_001263	ENSG00000163624	CDS1	CDS	CDP-diacylglycerol synthase 1	protein-coding
10047	chr4	85886313	85889165	+	0	NA	promoter-TSS (NM_014991)	promoter-TSS (NM_014991)	-195	NM_014991	23001	Hs.480116	NM_014991	ENSG00000163625	WDFY3	ALFY|ZFYVE25	WD repeat and FYVE domain containing 3	protein-coding
10048	chr4	86395834	86397138	+	0	NA	5' UTR (NM_001025616, exon 1 of 10)	5' UTR (NM_001025616, exon 1 of 10)	202	NM_001025616	83478	Hs.444229	NM_031305	ENSG00000138639	ARHGAP24	FILGAP|RC-GAP72|RCGAP72|p73|p73RhoGAP	Rho GTPase activating protein 24	protein-coding
10049	chr4	87514773	87517471	+	0	NA	intron (NM_080685, intron 1 of 47)	intron (NM_080685, intron 1 of 47)	654	NM_080685	5783	Hs.436142	NM_006264	ENSG00000163629	PTPN13	FAP-1|PNP1|PTP-BAS|PTP-BL|PTP1E|PTPL1|PTPLE|hPTP1E	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)	protein-coding
10050	chr4	87812558	87814064	+	0	NA	intron (NM_144645, intron 1 of 4)	CpG	264	NM_144645	132989	Hs.339646	NM_144645	ENSG00000163633	C4orf36	-	chromosome 4 open reading frame 36	protein-coding
10051	chr4	87825113	87826097	+	0	NA	Intergenic	LTR12D|LTR|ERV1	-12030	NM_144645	132989	Hs.339646	NM_144645	ENSG00000163633	C4orf36	-	chromosome 4 open reading frame 36	protein-coding
10052	chr4	87855340	87858432	+	0	NA	promoter-TSS (NR_038841)	promoter-TSS (NR_038841)	732	NM_001166693	4299	Hs.480190	NM_005935	ENSG00000172493	AFF1	AF4|MLLT2|PBM1	AF4/FMR2 family, member 1	protein-coding
10053	chr4	87927016	87929576	+	0	NA	5' UTR (NM_005935, exon 1 of 20)	5' UTR (NM_005935, exon 1 of 20)	143	NM_005935	4299	Hs.480190	NM_005935	ENSG00000172493	AFF1	AF4|MLLT2|PBM1	AF4/FMR2 family, member 1	protein-coding
10054	chr4	88140099	88142671	+	0	NA	promoter-TSS (NM_001292003)	promoter-TSS (NM_001292003)	35	NM_001292003	57563	Hs.106601	NM_020803	ENSG00000145332	KLHL8	-	kelch-like family member 8	protein-coding
10055	chr4	88156815	88157662	+	0	NA	Intergenic	Intergenic	-15478	NM_001292007	57563	Hs.106601	NM_020803	ENSG00000145332	KLHL8	-	kelch-like family member 8	protein-coding
10056	chr4	88310488	88313471	+	0	NA	intron (NM_016245, intron 1 of 6)	intron (NM_016245, intron 1 of 6)	476	NM_016245	51170	Hs.594923	NM_016245	ENSG00000198189	HSD17B11	17-BETA-HSD11|17-BETA-HSDXI|17BHSD11|DHRS8|PAN1B|RETSDR2|SDR16C2	hydroxysteroid (17-beta) dehydrogenase 11	protein-coding
10057	chr4	88342755	88345160	+	0	NA	5' UTR (NM_001248011, exon 1 of 7)	5' UTR (NM_001248011, exon 1 of 7)	208	NM_198038	53343	Hs.149500	NM_024047	ENSG00000170502	NUDT9	NUDT10	nudix hydrolase 9	protein-coding
10058	chr4	88928291	88930370	+	0	NA	exon (NM_000297, exon 1 of 15)	exon (NM_000297, exon 1 of 15)	531	NM_000297	5311	Hs.181272	NM_000297	ENSG00000118762	PKD2	APKD2|PC2|PKD4|Pc-2|TRPP2	polycystic kidney disease 2 (autosomal dominant)	protein-coding
10059	chr4	89079393	89080858	+	0	NA	promoter-TSS (NM_004827)	promoter-TSS (NM_004827)	-114	NM_004827	9429	Hs.480218	NM_004827	ENSG00000118777	ABCG2	ABC15|ABCP|BCRP|BCRP1|BMDP|CD338|CDw338|EST157481|GOUT1|MRX|MXR|MXR-1|MXR1|UAQTL1	ATP binding cassette subfamily G member 2 (Junior blood group)	protein-coding
10060	chr4	89203752	89206661	+	0	NA	intron (NM_152542, intron 1 of 6)	CpG	777	NM_152542	152926	Hs.43744	NM_152542	ENSG00000163644	PPM1K	BDP|MSUDMV|PP2Ckappa|PP2Cm|PTMP|UG0882E07	protein phosphatase, Mg2+/Mn2+ dependent, 1K	protein-coding
10061	chr4	89299528	89300833	+	0	NA	exon (NM_001165136, exon 1 of 22)	exon (NM_001165136, exon 1 of 22)	289	NM_017912	55008	Hs.529317	NM_017912	ENSG00000138642	HERC6	-	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	protein-coding
10062	chr4	89377230	89379069	+	0	NA	promoter-TSS (NM_016323)	promoter-TSS (NM_016323)	-119	NM_016323	51191	Hs.26663	NM_016323	ENSG00000138646	HERC5	CEB1|CEBP1	HECT and RLD domain containing E3 ubiquitin protein ligase 5	protein-coding
10063	chr4	89443550	89445867	+	0	NA	exon (NM_032906, exon 1 of 2)	exon (NM_032906, exon 1 of 2)	244	NM_032906	100996939	Hs.26136	NM_032906	ENSG00000145337	PYURF	PREY	PIGY upstream reading frame	protein-coding
10064	chr4	89512801	89514850	+	0	NA	intron (NM_014606, intron 1 of 25)	CpG	251	NM_014606	8916	Hs.35804	NM_014606	ENSG00000138641	HERC3	-	HECT and RLD domain containing E3 ubiquitin protein ligase 3	protein-coding
10065	chr4	89618303	89619398	+	0	NA	exon (NM_153757, exon 1 of 1)	exon (NM_153757, exon 1 of 1)	173	NM_153757	266812	Hs.12554	NM_153757	ENSG00000177432	NAP1L5	DRLM	nucleosome assembly protein 1-like 5	protein-coding
10066	chr4	89977473	89978716	+	0	NA	exon (NM_014883, exon 1 of 24)	exon (NM_014883, exon 1 of 24)	252	NM_014883	10144	Hs.97270	NM_014883	ENSG00000138640	FAM13A	ARHGAP48|FAM13A1	family with sequence similarity 13, member A	protein-coding
10067	chr4	90032129	90033686	+	0	NA	Intergenic	CpG	-1061	NM_145715	166815	Hs.58924	NM_145715	ENSG00000180346	TIGD2	HEL106	tigger transposable element derived 2	protein-coding
10068	chr4	90228456	90229485	+	0	NA	5' UTR (NM_198281, exon 1 of 2)	5' UTR (NM_198281, exon 1 of 2)	191	NM_198281	285513	Hs.100912	NM_198281		GPRIN3	GRIN3	GPRIN family member 3	protein-coding
10069	chr4	90758033	90759518	+	0	NA	promoter-TSS (NM_001146054)	promoter-TSS (NM_001146054)	-425	NM_000345	6622	Hs.21374	NM_000345	ENSG00000145335	SNCA	NACP|PARK1|PARK4|PD1	synuclein alpha	protein-coding
10070	chr4	91047845	91050684	+	0	NA	intron (NM_001145065, intron 1 of 10)	CpG	580	NM_001145065	401145	Hs.654735	NM_207491	ENSG00000184305	CCSER1	FAM190A	coiled-coil serine rich protein 1	protein-coding
10071	chr4	92712410	92713753	+	0	NA	Intergenic	L1PA2|LINE|L1	485372	NR_125920	101929194	Hs.626389	NR_125920		LOC101929194	-	uncharacterized LOC101929194	ncRNA
10072	chr4	93224624	93227751	+	0	NA	intron (NM_001510, intron 1 of 15)	intron (NM_001510, intron 1 of 15)	637	NM_001510	2895	Hs.162727	NM_001510	ENSG00000152208	GRID2	GluD2|SCAR18	glutamate receptor, ionotropic, delta 2	protein-coding
10073	chr4	94749268	94750598	+	0	NA	promoter-TSS (NM_005172)	promoter-TSS (NM_005172)	-145	NM_005172	474	Hs.532680	NM_005172		ATOH1	ATH1|HATH1|MATH-1|bHLHa14	atonal bHLH transcription factor 1	protein-coding
10074	chr4	95128073	95130234	+	0	NA	promoter-TSS (NR_125922)	promoter-TSS (NR_125922)	-82	NR_045644	56916	Hs.410406	NM_020159	ENSG00000163104	SMARCAD1	ADERM|ETL1|HEL1	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1	protein-coding
10075	chr4	95372056	95374835	+	0	NA	intron (NM_001011516, intron 1 of 9)	CpG	437	NM_001011515	10611	Hs.480311	NM_006457	ENSG00000163110	PDLIM5	ENH|ENH1|L9|LIM	PDZ and LIM domain 5	protein-coding
10076	chr4	99063302	99065372	+	0	NA	promoter-TSS (NM_174952)	promoter-TSS (NM_174952)	54	NM_174952	285555	Hs.680226	NM_174952	ENSG00000163116	STPG2	C4orf37	sperm-tail PG-rich repeat containing 2	protein-coding
10077	chr4	99180949	99183899	+	0	NA	promoter-TSS (NM_001100430)	promoter-TSS (NM_001100430)	-103	NM_001100430	5910	Hs.132858	NM_021159	ENSG00000138698	RAP1GDS1	GDS1|SmgGDS	RAP1, GTP-GDP dissociation stimulator 1	protein-coding
10078	chr4	99577054	99581431	+	0	NA	intron (NM_005723, intron 1 of 7)	CpG	570	NM_005723	10098	Hs.118118	NM_005723	ENSG00000168785	TSPAN5	NET-4|NET4|TM4SF9|TSPAN-5	tetraspanin 5	protein-coding
10079	chr4	99848451	99852274	+	0	NA	promoter-TSS (NM_001130678)	promoter-TSS (NM_001130678)	-119	NM_001130678	1977	Hs.249718	NM_001968		EIF4E	AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F|eIF-4E	eukaryotic translation initiation factor 4E	protein-coding
10080	chr4	99915915	99918472	+	0	NA	intron (NM_015143, intron 1 of 10)	CpG	405	NM_015143	23173	Hs.480364	NM_015143	ENSG00000164024	METAP1	MAP1A|MetAP1A	methionyl aminopeptidase 1	protein-coding
10081	chr4	100008229	100011401	+	0	NA	promoter-TSS (NR_037884)	promoter-TSS (NR_037884)	124	NM_000671	128	Hs.78989	NM_000671	ENSG00000197894	ADH5	ADH-3|ADHX|FALDH|FDH|GSH-FDH|GSNOR|HEL-S-60p	alcohol dehydrogenase 5 (class III), chi polypeptide	protein-coding
10082	chr4	100482983	100485925	+	0	NA	promoter-TSS (NM_000253)	promoter-TSS (NM_000253)	371	NM_152292	93587	Hs.380412	NM_152292	ENSG00000145331	TRMT10A	HEL-S-88|MSSGM|RG9MTD2|TRM10	tRNA methyltransferase 10A	protein-coding
10083	chr4	100814107	100816476	+	0	NA	intron (NM_001243736, intron 1 of 6)	intron (NM_001243736, intron 1 of 6)	412	NR_024170	8649	Hs.433332	NM_021970	ENSG00000109270	LAMTOR3	MAP2K1IP1|MAPBP|MAPKSP1|MP1|PRO0633|Ragulator3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3	protein-coding
10084	chr4	100866118	100868881	+	0	NA	intron (NM_001278311, intron 1 of 3)	CpG	384	NM_001278311	79982	Hs.577426	NM_024920	ENSG00000164031	DNAJB14	EGNR9427|PRO34683	DnaJ (Hsp40) homolog, subfamily B, member 14	protein-coding
10085	chr4	100869523	100872772	+	0	NA	promoter-TSS (NR_125923)	promoter-TSS (NR_125923)	365	NM_002106	3015	Hs.119192	NM_002106	ENSG00000164032	H2AFZ	H2A.Z-1|H2A.z|H2A/z|H2AZ	H2A histone family, member Z	protein-coding
10086	chr4	101110465	101112077	+	0	NA	promoter-TSS (NR_125924)	promoter-TSS (NR_125924)	81	NR_125924	101929353	Hs.147584	NR_125924	ENSG00000249710	LOC101929353	-	uncharacterized LOC101929353	ncRNA
10087	chr4	102266428	102270683	+	0	NA	promoter-TSS (NR_033874)	promoter-TSS (NR_033874)	73	NM_001130692	5530	Hs.435512	NM_000944	ENSG00000138814	PPP3CA	CALN|CALNA|CALNA1|CCN1|CNA1|PPP2B	protein phosphatase 3, catalytic subunit, alpha isozyme	protein-coding
10088	chr4	102711460	102712830	+	0	NA	intron (NM_001127507, intron 1 of 15)	CpG	381	NM_001127507	55024	Hs.480400	NM_017935	ENSG00000153064	BANK1	BANK	B-cell scaffold protein with ankyrin repeats 1	protein-coding
10089	chr4	103265048	103267319	+	0	NA	5' UTR (NM_022154, exon 1 of 8)	5' UTR (NM_022154, exon 1 of 8)	165	NM_022154	64116	Hs.288034	NM_022154	ENSG00000138821	SLC39A8	BIGM103|LZT-Hs6|PP3105|ZIP8	solute carrier family 39 (zinc transporter), member 8	protein-coding
10090	chr4	103350869	103352769	+	0	NA	Intergenic	Intergenic	-70667	NM_003998	4790	Hs.618430	NM_003998	ENSG00000109320	NFKB1	EBP-1|KBF1|NF-kB1|NF-kappa-B|NF-kappaB|NFKB-p105|NFKB-p50|NFkappaB|p105|p50	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	protein-coding
10091	chr4	103421587	103424175	+	0	NA	5' UTR (NM_003998, exon 1 of 24)	5' UTR (NM_003998, exon 1 of 24)	395	NM_001165412	4790	Hs.618430	NM_003998	ENSG00000109320	NFKB1	EBP-1|KBF1|NF-kB1|NF-kappa-B|NF-kappaB|NFKB-p105|NFKB-p50|NFkappaB|p105|p50	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	protein-coding
10092	chr4	103681018	103682967	+	0	NA	exon (NM_005908, exon 1 of 17)	exon (NM_005908, exon 1 of 17)	159	NM_005908	4126	Hs.480415	NM_005908	ENSG00000109323	MANBA	MANB1	mannosidase, beta A, lysosomal	protein-coding
10093	chr4	103745569	103750750	+	0	NA	5' UTR (NM_181892, exon 1 of 8)	5' UTR (NM_181892, exon 1 of 8)	181	NM_181892	7323	Hs.518773	NM_003340	ENSG00000109332	UBE2D3	E2(17)KB3|UBC4/5|UBCH5C	ubiquitin conjugating enzyme E2D 3	protein-coding
10094	chr4	103788744	103791581	+	0	NA	promoter-TSS (NM_181893)	promoter-TSS (NM_181893)	27	NM_001008388	493856	Hs.444955	NM_001008388		CISD2	ERIS|Miner1|NAF-1|WFS2|ZCD2	CDGSH iron sulfur domain 2	protein-coding
10095	chr4	103939939	103941360	+	0	NA	intron (NR_047515, intron 1 of 10)	intron (NR_047515, intron 1 of 10)	247	NR_047515	150159	Hs.666728	NM_139173	ENSG00000164037	SLC9B1	NHA1|NHEDC1	solute carrier family 9, subfamily B (NHA1, cation proton antiporter 1), member 1	protein-coding
10096	chr4	103996358	103998686	+	0	NA	5' UTR (NM_178833, exon 1 of 12)	5' UTR (NM_178833, exon 1 of 12)	408	NM_178833	133308	Hs.546482	NM_178833	ENSG00000164038	SLC9B2	NHA2|NHE10|NHEDC2	solute carrier family 9, subfamily B (NHA2, cation proton antiporter 2), member 2	protein-coding
10097	chr4	104118151	104120308	+	0	NA	intron (NM_001813, intron 1 of 48)	MIR3|SINE|MIR	337	NM_001813	1062	Hs.75573	NM_001813	ENSG00000138778	CENPE	CENP-E|KIF10|MCPH13|PPP1R61	centromere protein E	protein-coding
10098	chr4	104475979	104480968	+	0	NA	Intergenic	HERVH-int|LTR|ERV1	132274	NR_125925	101929448	Hs.570839	NR_125925	ENSG00000248740	LOC101929448	-	uncharacterized LOC101929448	ncRNA
10099	chr4	105411714	105413677	+	0	NA	exon (NM_025212, exon 2 of 3)	exon (NM_025212, exon 2 of 3)	573	NR_125926	101929468	Hs.480435	NR_125926	ENSG00000245384	LOC101929468	-	uncharacterized LOC101929468	ncRNA
10100	chr4	105415829	105417313	+	0	NA	promoter-TSS (NM_025212)	promoter-TSS (NM_025212)	-513	NR_132741	80319	Hs.12248	NM_025212	ENSG00000168772	CXXC4	IDAX	CXXC finger protein 4	protein-coding
10101	chr4	106066753	106069453	+	0	NA	5' UTR (NM_001127208, exon 1 of 11)	5' UTR (NM_001127208, exon 1 of 11)	261	NM_001127208	54790	Hs.367639	NM_017628	ENSG00000168769	TET2	KIAA1546|MDS	tet methylcytosine dioxygenase 2	protein-coding
10102	chr4	106393215	106395669	+	0	NA	intron (NM_006903, intron 1 of 10)	intron (NM_006903, intron 1 of 10)	785	NM_176866	27068	Hs.654957	NM_006903	ENSG00000138777	PPA2	HSPC124|SID6-306	pyrophosphatase (inorganic) 2	protein-coding
